YEAR,SPECIES,TONS,POUNDS,POUNDS(millions),VALUE,VALUE(millions),PRICE/LB,HOLDERS†,MILLIONS,STATION (C)
1908,"LOBSTER, AMERICAN","8,000","17,636,800",17.6368,"$1,600,000",1.6,$0.09,,,8.6
1909,"LOBSTER, AMERICAN","7,690","16,953,374",16.9534,"$1,800,000",1.8,$0.11,,,8.6
1910,"LOBSTER, AMERICAN","9,043","19,936,198",19.9362,"$2,100,000",2.1,$0.11,,,9
1911,"LOBSTER, AMERICAN","7,343","16,188,378",16.1884,"$2,100,000",2.1,$0.13,,,8.3
1912,"LOBSTER, AMERICAN","7,393","16,298,608",16.2986,"$2,000,000",2,$0.12,,,7.7
1913,"LOBSTER, AMERICAN","5,523","12,176,006",12.176,"$1,600,000",1.6,$0.13,,,8.6
1914,"LOBSTER, AMERICAN","5,874","12,949,820",12.9498,"$1,700,000",1.7,$0.13,,,7
1915,"LOBSTER, AMERICAN","5,233","11,536,672",11.5367,"$2,300,000",2.3,$0.20,,,7.1
1916,"LOBSTER, AMERICAN","4,606","10,154,388",10.1544,"$2,200,000",2.2,$0.22,"3,291",,6.7
1917,"LOBSTER, AMERICAN",,,,,,,,,6.3
1918,"LOBSTER, AMERICAN",,,,,,,,,7.7
1919,"LOBSTER, AMERICAN","2,628","5,793,689",5.7937,"$1,400,000",1.4,$0.24,"3,067",,8.5
1920,"LOBSTER, AMERICAN",,,,,,,,,8.2
1921,"LOBSTER, AMERICAN",,,,,,,,,8.7
1922,"LOBSTER, AMERICAN",,,,,,,,,8
1923,"LOBSTER, AMERICAN",,,,,,,,,7.4
1924,"LOBSTER, AMERICAN","2,501","5,513,705",5.5137,"$1,800,000",1.8,$0.33,,0.154,7.7
1925,"LOBSTER, AMERICAN",,,,,,,,,7.5
1926,"LOBSTER, AMERICAN",,,,,,,,,7.1
1927,"LOBSTER, AMERICAN",,,,,,,,,7.9
1928,"LOBSTER, AMERICAN","3,221","7,101,017",7.101,"$2,000,000",2,$0.28,,0.211,8.3
1929,"LOBSTER, AMERICAN","3,003","6,620,414",6.6204,"$2,000,000",2,$0.30,,,7.2
1930,"LOBSTER, AMERICAN","3,516","7,751,374",7.7514,"$2,000,000",2,$0.26,,0.205,8.1
1931,"LOBSTER, AMERICAN","2,434","5,365,996",5.366,"$1,300,000",1.3,$0.24,,0.168,9.1
1932,"LOBSTER, AMERICAN","2,747","6,056,036",6.056,"$1,100,000",1.1,$0.18,"2,927",0.208,8.2
1933,"LOBSTER, AMERICAN","2,675","5,897,305",5.8973,"$1,000,000",1,$0.17,"2,956",0.18,8.6
1934,"LOBSTER, AMERICAN","2,439","5,377,019",5.377,"$900,000",0.9,$0.17,"2,925",0.183,7.6
1935,"LOBSTER, AMERICAN","3,487","7,687,440",7.6874,"$1,800,000",1.8,$0.23,"3,102",0.185,8.1
1936,"LOBSTER, AMERICAN","2,323","5,121,286",5.1213,"$900,000",0.9,$0.18,,0.185,7.5
1937,"LOBSTER, AMERICAN","3,333","7,347,932",7.3479,"$1,400,000",1.4,$0.19,,0.186,9
1938,"LOBSTER, AMERICAN","3,474","7,658,780",7.6588,,,$0.00,"3,592",0.258,7.3
1939,"LOBSTER, AMERICAN","3,005","6,624,823",6.6248,"$1,000,000",1,$0.15,"3,722",0.26,6.4
1940,"LOBSTER, AMERICAN","3,468","7,644,735",7.6447,"$1,300,000",1.3,$0.17,"3,717",0.222,7
1941,"LOBSTER, AMERICAN","4,055","8,939,070",8.9391,"$1,600,000",1.6,$0.18,"3,648",0.194,7.9
1942,"LOBSTER, AMERICAN","3,813","8,405,460",8.4055,"$1,800,000",1.8,$0.21,"3,511",0.187,8.1
1943,"LOBSTER, AMERICAN","5,203","11,470,410",11.4704,"$2,900,000",2.9,$0.25,"4,239",0.209,7.4
1944,"LOBSTER, AMERICAN","6,377","14,059,080",14.0591,"$4,000,000",4,$0.28,"4,926",0.252,8
1945,"LOBSTER, AMERICAN","8,678","19,132,785",19.1328,"$7,700,000",7.7,$0.40,"6,241",0.378,8.4
1946,"LOBSTER, AMERICAN","8,518","18,779,985",18.78,"$7,200,000",7.2,$0.38,"6,574",0.473,8.5
1947,"LOBSTER, AMERICAN","8,291","18,279,450",18.2795,"$6,800,000",6.8,$0.37,"5,338",0.516,9.2
1948,"LOBSTER, AMERICAN","7,224","15,926,715",15.9267,"$6,400,000",6.4,$0.40,"5,345",0.439,8.2
1949,"LOBSTER, AMERICAN","8,744","19,276,110",19.2761,"$6,700,000",6.7,$0.35,"5,424",0.462,6.7
1950,"LOBSTER, AMERICAN","8,325","18,352,600",18.3526,"$6,412,311",6.4123,$0.35,"5,152",0.43,9.9
1951,"LOBSTER, AMERICAN","9,416","20,759,500",20.7595,"$7,214,107",7.2141,$0.35,"4,653",0.383,10.8
1952,"LOBSTER, AMERICAN","9,088","20,036,300",20.0363,"$8,511,821",8.5118,$0.42,"5,032",0.417,10.1
1953,"LOBSTER, AMERICAN","10,115","22,300,300",22.3003,"$8,411,229",8.4112,$0.38,"5,497",0.49,11.1
1954,"LOBSTER, AMERICAN","9,828","21,667,700",21.6677,"$8,087,156",8.0872,$0.37,"5,794",0.488,10.2
1955,"LOBSTER, AMERICAN","10,305","22,718,100",22.7181,"$8,716,012",8.716,$0.38,"6,051",0.532,10
1956,"LOBSTER, AMERICAN","9,331","20,572,300",20.5723,"$9,119,807",9.1198,$0.44,"5,892",0.533,9.2
1957,"LOBSTER, AMERICAN","11,069","24,402,800",24.4028,"$8,954,234",8.9542,$0.37,"6,068",0.565,9.2
1958,"LOBSTER, AMERICAN","9,667","21,312,000",21.312,"$10,445,004",10.445,$0.49,"6,236",0.609,8.5
1959,"LOBSTER, AMERICAN","10,128","22,328,800",22.3288,"$11,252,686",11.2527,$0.50,"6,488",0.717,8.3
1960,"LOBSTER, AMERICAN","10,893","24,014,200",24.0142,"$10,967,018",10.967,$0.46,"6,636",0.745,8.8
1961,"LOBSTER, AMERICAN","9,488","20,917,900",20.9179,"$11,119,803",11.1198,$0.53,"6,472",0.752,8.5
1962,"LOBSTER, AMERICAN","10,013","22,075,300",22.0753,"$11,195,609",11.1956,$0.51,"5,658",0.767,8.1
1963,"LOBSTER, AMERICAN","10,344","22,804,300",22.8043,"$12,635,826",12.6358,$0.55,"5,695",0.731,8.8
1964,"LOBSTER, AMERICAN","9,489","20,920,697",20.9207,"$13,878,286",13.8783,$0.66,"5,803",0.754,8.3
1965,"LOBSTER, AMERICAN","8,556","18,861,785",18.8618,"$14,177,204",14.1772,$0.75,"5,802",0.789,7.7
1966,"LOBSTER, AMERICAN","9,034","19,915,816",19.9158,"$14,904,498",14.9045,$0.75,"5,613",0.776,7.6
1967,"LOBSTER, AMERICAN","7,479","16,489,196",16.4892,"$13,597,869",13.5979,$0.82,"5,425",0.715,7.3
1968,"LOBSTER, AMERICAN","9,299","20,501,732",20.5017,"$14,931,671",14.9317,$0.73,"5,489",0.747,8.1
1969,"LOBSTER, AMERICAN","8,997","19,834,780",19.8348,"$16,046,829",16.0468,$0.81,"5,750",0.805,8.9
1970,"LOBSTER, AMERICAN","8,243","18,172,269",18.1723,"$17,201,501",17.2015,$0.95,"6,316",1.18,8.9
1971,"LOBSTER, AMERICAN","7,964","17,558,351",17.5584,"$17,481,291",17.4813,$1.00,"6,702",1.278,8.7
1972,"LOBSTER, AMERICAN","7,374","16,256,467",16.2565,"$18,587,455",18.5875,$1.14,"7,045",1.448,8.4
1973,"LOBSTER, AMERICAN","7,731","17,044,194",17.0442,"$23,269,859",23.2699,$1.37,"7,894",1.172,8.8
1974,"LOBSTER, AMERICAN","7,465","16,457,666",16.4577,"$23,212,808",23.2128,$1.41,"10,523",1.79,9.2
1975,"LOBSTER, AMERICAN","7,491","16,515,588",16.5156,"$26,520,134",26.5201,$1.61,"10,455",1.771,9.4
1976,"LOBSTER, AMERICAN","8,619","19,001,053",19.0011,"$29,238,371",29.2384,$1.54,"9,041",1.754,9.3
1977,"LOBSTER, AMERICAN","8,386","18,487,138",18.4871,"$32,101,423",32.1014,$1.74,"8,827",1.739,8.7
1978,"LOBSTER, AMERICAN","8,677","19,130,459",19.1305,"$33,878,376",33.8784,$1.77,"8,712",1.723,8
1979,"LOBSTER, AMERICAN","10,039","22,133,235",22.1332,"$39,900,632",39.9006,$1.80,"8,600",1.81,8.9
1980,"LOBSTER, AMERICAN","9,973","21,986,894",21.9869,"$41,729,114",41.7291,$1.90,"9,200",1.846,8
1981,"LOBSTER, AMERICAN","10,266","22,631,614",22.6316,"$47,236,923",47.2369,$2.09,"8,548",1.825,8.4
1982,"LOBSTER, AMERICAN","10,310","22,730,253",22.7303,"$50,343,596",50.3436,$2.21,"8,891",2.143,9
1983,"LOBSTER, AMERICAN","9,968","21,976,555",21.9766,"$51,234,291",51.2343,$2.33,"8,895",2.34,8.8
1984,"LOBSTER, AMERICAN","8,866","19,545,682",19.5457,"$49,298,135",49.2981,$2.52,"8,730",2.175,8.7
1985,"LOBSTER, AMERICAN","9,129","20,125,177",20.1252,"$45,035,558",45.0356,$2.24,"4,789",1.766,9
1986,"LOBSTER, AMERICAN","8,938","19,704,317",19.7043,"$46,171,224",46.1712,$2.34,"4,840",1.595,8.5
1987,"LOBSTER, AMERICAN","8,957","19,747,766",19.7478,"$54,548,137",54.5481,$2.76,"5,285",1.909,8.2
1988,"LOBSTER, AMERICAN","9,861","21,739,067",21.7391,"$60,742,438",60.7424,$2.79,"5,627",2.053,8.5
1989,"LOBSTER, AMERICAN","10,600","23,368,719",23.3687,"$59,552,211",59.5522,$2.55,"6,172",2.001,8.2
1990,"LOBSTER, AMERICAN","12,732","28,068,238",28.0682,"$61,627,973",61.628,$2.20,"6,617",2.13,9.2
1991,"LOBSTER, AMERICAN","13,966","30,788,646",30.7886,"$72,265,347",72.2653,$2.35,"6,839",2.015,9.2
1992,"LOBSTER, AMERICAN","12,170","26,830,448",26.8304,"$71,822,699",71.8227,$2.68,"6,063",2.012,8.9
1993,"LOBSTER, AMERICAN","13,574","29,926,464",29.9265,"$73,863,438",73.8634,$2.47,"5,836",1.806,8.5
1994,"LOBSTER, AMERICAN","17,667","38,948,867",38.9489,"$100,936,678",100.9367,$2.59,"6,247",2.785,9.3
1995,"LOBSTER, AMERICAN","16,877","37,208,324",37.2083,"$101,893,173",101.8932,$2.74,"7,469",2.408,9.8
1996,"LOBSTER, AMERICAN","16,367","36,083,443",36.0834,"$106,980,557",106.9806,$2.96,"6,992",2.451,9.2
1997,"LOBSTER,AMERICAN","21,329","47,023,271",47.0233,"$138,292,438",138.2924,$2.94,"7,118",2.589,9
1998,"LOBSTER,AMERICAN","21,336","47,036,836",47.0368,"$137,189,341",137.1893,$2.92,"6,937",2.837,9.2
1999,"LOBSTER,AMERICAN","24,265","53,494,418",53.4944,"$184,614,071",184.6141,$3.45,"6,794",3.051,9.9
2000,"LOBSTER,AMERICAN","25,953","57,215,406",57.2154,"$187,714,817",187.7148,$3.28,"6,873",2.776,9.9
2001,"LOBSTER,AMERICAN","22,053","48,617,693",48.6177,"$153,982,266",153.9823,$3.17,"6,831",2.966,10
2002,"LOBSTER,AMERICAN","28,860","63,625,745",63.6257,"$210,950,030",210.95,$3.32,"6,799",3.092,10.6
2003,"LOBSTER, AMERICAN","24,934","54,970,948",54.9709,"$205,715,329",205.7153,$3.74,"6,822",3.207,10.1
2004,"LOBSTER, AMERICAN","32,466","71,574,244",71.5742,"$289,078,847",289.0788,$4.04,"6,799",3.237,10.2
2005,"LOBSTER, AMERICAN","31,175","68,729,861",68.7299,"$317,948,336",317.9483,$4.63,"6,720",3.286,11.2
2006,"LOBSTER, AMERICAN","34,176","75,345,827",75.3458,"$305,439,420",305.4394,$4.05,"6,614",3.293,12.5
2007,"LOBSTER, AMERICAN","29,019","63,975,958",63.976,"$280,648,419",280.6484,$4.39,"6,498",3.275,9.3
2008,"LOBSTER, AMERICAN","31,710","69,908,504",69.9085,"$245,150,026",245.15,$3.51,"6,295",3.187,9.8
2009,"LOBSTER, AMERICAN","36,820","81,174,638",81.1746,"$237,536,890",237.5369,$2.93,"6,055",3.106,9.5
2010,"LOBSTER, AMERICAN","43,640","96,208,772",96.2088,"$318,052,441",318.0524,$3.31,"5,913",3.031,10.4
2011,"LOBSTER, AMERICAN","47,593","104,924,728",104.9247,"$334,539,734",334.5397,$3.19,"5,931",2.995,10.3
2012,"LOBSTER, AMERICAN","57,752","127,321,422",127.3214,"$342,079,520",342.0795,$2.69,"5,934",2.986,10.6
2013,"LOBSTER, AMERICAN","57,973","127,808,436",127.8084,"$370,383,982",370.384,$2.90,"5,793",2.946,9.5
2014,"LOBSTER, AMERICAN","56,393","124,325,923",124.3259,"$459,508,386",459.5084,$3.70,"5,773",2.925,9.3
2015,"LOBSTER, AMERICAN","55,639","122,663,393",122.6634,"$502,450,309",502.4503,$4.10,"6,014",2.805,8.9
2016,"LOBSTER, AMERICAN","60,149","132,604,691",132.6047,"$540,671,929",540.6719,$4.08,"6,009",2.874,10.4
2017,"LOBSTER, AMERICAN","50,848","112,101,211",112.1012,"$438,976,767",438.9768,$3.92,"5,997",2.883,9.9
2018,"LOBSTER, AMERICAN","54,903","121,039,988",121.04,"$490,596,367",490.5964,$4.05,"5,925",2.85,10.4
2019,"LOBSTER, AMERICAN","46,367","102,220,639",102.2206,"$493,003,762",493.0038,$4.82,"5,834",2.905,9.9
2020,"LOBSTER, AMERICAN","44,406","97,898,664",97.8987,"$412,487,339",412.4873,$4.21,"5,773",2.875,10.9
2021,"LOBSTER, AMERICAN","49,392","108,889,871",108.8899,"$730,596,022",730.596,$6.71,"5,763",2.861,11.3
